tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 323094535,Gaia DR2 4285572454508522496,9.75598,0.435,0.038,0.249,0.077,885,,4.492,17.3,0.03927,5939,1.14,1.1,,280.6671392,6.2191669,2.02362,1.12449,627.158
TIC 108155949,Gaia DR2 4283597937777249408,3.6313,1.05,2.8,3,0.16,1660,,3.888,6.85,0.0671,5900,1.61,1.14,,279.7826586,4.3577516,-2.40647,-8.32188,1060.97
TIC 108155949,Gaia DR2 4283597937777249408,3.6313,1.18,3.06,2.3275,,1710,,,5.952,,5900,1.74,1.12,,279.7826586,4.3577516,-2.40647,-8.32188,1060.97
TIC 108155949,Gaia DR2 4283597937777249408,3.6313,1.05,3.09,3.3,0.16,,,,,,5900,1.61,1.14,,279.7826586,4.3577516,-2.40647,-8.32188,1060.97
TIC 36105482,Gaia DR2 3105404467618982272,5.1134,0.33,0.018,0.9,0,1070,,2.85,10.9,0.037,4950,0.86,0.91,,101.922543,-3.7192892,-1.29402,2.75365,591.555
TIC 36105482,Gaia DR2 3105404467618982272,11.759,0.44,0.088,1.3,0,850,,4.8,18,0.05,4950,0.86,0.91,,101.922543,-3.7192892,-1.29402,2.75365,591.555
TIC 130038122,Gaia DR2 4285689616891369600,4.86069,1.08,0.27,0.15,0,1330,,1.92,10.2,0.085,6040,1.19,1.09,,280.6296561,6.5138223,-2.48353,0.904688,1103.48
TIC 130038122,Gaia DR2 4285689616891369600,4.86069,1.08,0.293,0.24,0.22,,,,,,6040,1.19,1.09,,280.6296561,6.5138223,-2.48353,0.904688,1103.48
TIC 322388624,Gaia DR2 4286437357841760000,4.20474,1.26,0.58,0.36,0.41,,,,,,5590,1.79,1.09,,279.7504991,6.9697828,-4.34333,-9.13396,1045.18
TIC 322388624,Gaia DR2 4286437357841760000,4.20474,1.26,0.52,0.28,0,1600,,5.47,6.28,0.0718,5590,1.79,1.09,,279.7504991,6.9697828,-4.34333,-9.13396,1045.18
TIC 416136788,Gaia DR2 4284721191974346752,3.57532,1.007,10.39,12.6,0.065,1500,,2.77,9.48,0.099,5900,1.08,1.05,,278.4958319,5.5383811,0.326224,-9.76556,1010.28
TIC 416136788,Gaia DR2 4284721191974346752,3.57532,1.007,10.3,12.5,0.034,,,,,,5900,1.08,1.05,,278.4958319,5.5383811,0.326224,-9.76556,1010.28
TIC 106352250,Gaia DR2 4284680029006075648,5.20851,0.955,0.484,0.69,0.047,,,5.7,7.29,0.0551,5150,1.78,1.01,,278.6883216,5.5736911,-5.91899,-6.65958,766.183
TIC 106352250,Gaia DR2 4284680029006075648,5.20851,0.955,0.481,0.68,0.071,,,,,,5150,1.78,1.01,,278.6883216,5.5736911,-5.91899,-6.65958,766.183
TIC 370736259,Gaia DR2 4285073581136130560,2.85057,0.9,0.84,1.44,0.12,,,,,,5260,0.9,0.97,,278.9020691,6.4795703,-3.76681,-14.3693,806.507
TIC 370736259,Gaia DR2 4285073581136130560,2.85057,0.9,0.85,1.45,0.082,,,2.19,9.22,0.1028,5260,0.9,0.97,,278.9020691,6.4795703,-3.76681,-14.3693,806.507
TIC 392353449,Gaia DR2 4263427117767106816,4.2567994,1.01,21.44,25.9,0.016,,,,,,6740,1.56,1.37,,292.0552827,0.1218359,3.49344,-0.325982,768.771
TIC 392353449,Gaia DR2 4263427117767106816,4.2567994,1.037,21.96,24.5,,1695,,,7.8989,,6740,1.57,1.4,,292.0552827,0.1218359,3.49344,-0.325982,768.771
TIC 392353449,Gaia DR2 4263427117767106816,4.2567994,0.993,21.23,,0.008,,0.4398,,7.955,0.06632,,1.54,1.36,,292.0552827,0.1218359,3.49344,-0.325982,768.771
TIC 392353449,Gaia DR2 4263427117767106816,4.2568,1.01,21.66,26.4,0,,,,7.8,0.0663,6740,1.56,1.37,,292.0552827,0.1218359,3.49344,-0.325982,768.771
TIC 320636129,Gaia DR2 4477300378701511296,9.06005,1.009,2.9,3.45,0.007,,,,21,0.114,5650,0.91,0.98,,277.6011767,6.8359338,-1.26248,-0.240915,1032.23
TIC 250595183,Gaia DR2 3020494716521521152,4.62941,1.46,0.84,0.33,0.02,,,,7.2,0.0699,5700,2.15,1.25,,94.820735,-4.4222978,2.97679,-7.15375,2005.76
TIC 161062394,Gaia DR2 4213081309275729792,3.22748,1.68,1.1,0.29,0,1747,1.257,4.19,,,6390,1.65,1.01,,289.3143526,-2.7747085,-2.32613,-5.30537,1123.21
TIC 405004589,Gaia DR2 4477340334766250496,5.616531,1.41,0.68,0.25,0,1567,1.01,4.98,,,6730,1.52,1.32,,277.7510149,7.1833465,0.986842,-3.97813,925.958
TIC 36440357,Gaia DR2 3113201890547554432,9.20205,1.19,0.703,0.517,0.14,,,,,,6190,1.17,1.16,,102.1946233,-0.6727861,-3.65873,-3.89765,726.412
TIC 36440357,Gaia DR2 3113201890547554432,9.20205,1.16,0.731,0.583,,1058,,,17.094,,6190,1.15,1.19,,102.1946233,-0.6727861,-3.65873,-3.89765,726.412
TIC 36440357,Gaia DR2 3113201890547554432,9.20205,1.19,0.72,0.525,0,1074,,,17.36,0.1047,6190,1.17,1.16,,102.1946233,-0.6727861,-3.65873,-3.89765,726.412
